course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
EMPLOYMENT-DEVELO,Lecture,BUS,410N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '301N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '100N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,103
SOFTWARE SYSTEMS+ANALYSIS,Lecture,CMPT,230L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,108
ST:HIST MUSICAL THEATER,Lecture,MUS,396L,,,Communication and The Arts CO,School Communication Arts CO,3,109
ENG INTERN,Internship,ENG,488N,,,Liberal Arts LA,School of Liberal Arts LA,7,110
ST:WINE IN ANCIENT ITALY,Marist Abroad,ANTH,292L,,,Science SI,School of Science SI,3,111
U.S.WOMEN'S HIST,Lecture,HIST,232L,,,Liberal Arts LA,School of Liberal Arts LA,3,112
HIST OF INT DSGN,Lorenzo di Medici,ARCH,140L,,,Communication and The Arts CO,School Communication Arts CO,3,114
ST:INTRO TO GRAD STDS,Lecture,COMI,693L,,,MA Communication CX,MA Communication CX,1,115
ENG INTERN,Internship,ENG,489N,,,Liberal Arts LA,School of Liberal Arts LA,5,117
ST: DRUMLINE,Lecture,MUS,400N,,,Communication and The Arts CO,School Communication Arts CO,1,116
ROMAN CIV-MONUMNTS,Marist Abroad,ARCH,150L,,,Communication and The Arts CO,School Communication Arts CO,3,118
ADV TOP-HUMAN RESOUCES MGT,Lecture,BUS,413N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Business', '301N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,113
ANIMALS IN ANTIQUITY,Lorenzo di Medici,HIST,233L,,,Liberal Arts LA,School of Liberal Arts LA,3,119
MANAGEMENT INFOR SYSTEMS,Marist Abroad,CMPT,300L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,120
ADV CLASS PIANO,Lecture,MUS,410N,,,Communication and The Arts CO,School Communication Arts CO,1,123
FUND-ART+DESIGN,Lecture,ART,101L,,,Communication and The Arts CO,School Communication Arts CO,3,122
INST: SOC/MDIA GROWING IMPACT,Independent Study,BUS,415L,,,Management SM,School of Management SM,2,125
AFRICAN AMERICAN HIST,Lecture,HIST,234L,,,Liberal Arts LA,School of Liberal Arts LA,3,126
IND WRITING PROJ,Lecture,ENG,490L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '222L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '280L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,124
MUSIC 20TH CENTURY BRITAIN,Marist Abroad,IMUS,105L,,,Communication and The Arts CO,School Communication Arts CO,3,127
