course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
MGMT IN ORGANIZATIONS,Lorenzo di Medici,FLOR,372L,,,Registrar RG,Registrar RG,2,57
ALBANY INTERNSHIP,Internship,POSC,494N,,,Liberal Arts LA,School of Liberal Arts LA,6,59
OPERATING SYSTEMS,Lecture,CMPT,424N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,61
INTRO TO LITERATURE,Marist Abroad,ENG,255L,,,Liberal Arts LA,School of Liberal Arts LA,3,60
CRIT ISS HLTH OP,On Line Class,MPA,683N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,58
GLOBAL RETAILING,Lorenzo di Medici,FLOR,372N,,,Registrar RG,Registrar RG,2,63
OPERA,Marist Abroad,MUS,335L,,,Communication and The Arts CO,School Communication Arts CO,3,66
ALBANY INTERNSHIP,Internship,POSC,499N,,,Liberal Arts LA,School of Liberal Arts LA,9,67
DATA+INFORMATION MGMT,Non Scheduled,CMPT,428N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,68
COST ACCTING,Lecture,ACCT,310N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,65
SP LIT TRAN-NOVEL,Marist Abroad,ENG,261L,,,Liberal Arts LA,School of Liberal Arts LA,3,70
LEADRSHP/POW/INFLUE,On Line Class,MPA,684N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,69
GLBALZTN+ITS CONSQUNCS,Marist Abroad,POLI,220L,,,Liberal Arts LA,School of Liberal Arts LA,3,71
TECHNOLOGY+ENTREPRENEURSHIP,Non Scheduled,CMPT,430L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,72
FASH MERCH CAPPING,Lecture,FASH,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Fashion', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Fashion', '100L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Fashion', '265N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Fashion', '300N', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Communication', '110L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '220L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,64
MICROBIOLOGY,Lecture,BIOL,312L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,62
FRAUD EXAMINATION,Lecture,ACCT,315N,,,Management SM,School of Management SM,3,73
MUSIC OF 20 CENT,Lecture,MUS,342L,,,Communication and The Arts CO,School Communication Arts CO,3,74
CLASSICS WEST LIT,Lecture,ENG,270L,,,Liberal Arts LA,School of Liberal Arts LA,3,75
ETHICAL MGT OF ORGNZT,On Line Class,MPA,688N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,76
INTERNTL CONFLCT RESOLUT,Marist Abroad,POLI,223L,,,Liberal Arts LA,School of Liberal Arts LA,3,77
GENERAL COMM WRITING,Lorenzo di Medici,FLOR,382L,,,Registrar RG,Registrar RG,2,80
ALGORITHM ANALYSIS+DESIGN,Lecture,CMPT,435L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '220L', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Mathematics', '205L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '250L', 'Undergraduate', 'D', ')']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,78
INTRNTNL ROME:UN CITY,Marist Abroad,POLI,305L,,,Liberal Arts LA,School of Liberal Arts LA,3,82
MUSIC IN AMERICA,On Line Class,MUS,343L,,,Communication and The Arts CO,School Communication Arts CO,3,81
CLASSICS OF WEST LIT II,Lecture,ENG,271L,,,Liberal Arts LA,School of Liberal Arts LA,3,85
FIN STATMNT ANAL,Lecture,ACCT,330N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,79
FLORENTINE THEATRE HISTORY,Lorenzo di Medici,ENG,278L,,,Liberal Arts LA,School of Liberal Arts LA,3,88
ST:HISTORY-WIND BANDS,Lecture,MUS,387L,,,Communication and The Arts CO,School Communication Arts CO,3,89
PARLIAMENT & POLITICS,Marist Abroad,IPOS,305L,,,Liberal Arts LA,School of Liberal Arts LA,3,90
CRYPTOGRAPHY,Non Scheduled,CMPT,436N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,91
FASH DES CAP I: PORT DEVEL,Marist Abroad,FASH,478L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '345N', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Fashion', '479L', 'Undergraduate', 'C', '']]",Communication and The Arts CO,School Communication Arts CO,3,87
RES: STATEG & METH,Lecture,COM,200L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Communication', '100L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '102L', 'Undergraduate', 'D', ')']]",Communication and The Arts CO,School Communication Arts CO,3,84
ACCTING INTERN,Internship,ACCT,396N,,,Management SM,School of Management SM,1,92
INNOVATION IN PUB ADMIN,Lecture,MPA,699L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '501L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '505N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '506N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '507N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '508L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '513L', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '530N', 'Graduate', 'C', ''], ['And', '', '', '', 'Masters - MPA', '503L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,83
BRITI POLITICS & PUBLIC POLICY,Marist Abroad,IPOS,306L,,,Liberal Arts LA,School of Liberal Arts LA,3,94
ST:NORTHERN LIGHTS (NORWAY),Lecture,MUS,393L,,,Communication and The Arts CO,School Communication Arts CO,3,93
IMMUNOLOGY,Lecture,BIOL,315L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,86
HONOR SENIOR SEMINAR,Lecture,HONR,495L,,,Registrar RG,Registrar RG,1,96
CREATIVE WRITING,Lecture,ENG,280L,,,Liberal Arts LA,School of Liberal Arts LA,3,97
FORMAL LANGUAGES+COMPUTABILITY,Lecture,CMPT,440L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '422L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Computing Technology', '422N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,95
ACCOUNT INTERN,Internship,ACCT,397N,,,Management SM,School of Management SM,3,99
HANSARD SCOLARS DISSERTATION,Marist Abroad,IPOS,307L,,,Liberal Arts LA,School of Liberal Arts LA,3,100
ST:HIST MUSICAL THEATER,Lecture,MUS,396L,,,Communication and The Arts CO,School Communication Arts CO,3,101
GEN FASHION MERCH,Lorenzo di Medici,FLOR,383L,,,Registrar RG,Registrar RG,2,102
FAS DES CAP III:COLLECTIONS II,Lecture,FASH,480L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '479L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Fashion', '478L', 'Undergraduate', 'C', '']]",Communication and The Arts CO,School Communication Arts CO,3,98
LEARN DISABILITS,Lecture,PSYH,601L,,,MA School Psychology BZ,MA School Psychology BZ,3,104
INTERNSHIP IN ACCOUNTING,Internship,MSPA,602N,,,Professional Accountancy MA,Professional Accountancy MA,3,106
ADV CLASS PIANO,Lecture,MUS,410N,,,Communication and The Arts CO,School Communication Arts CO,1,107
GEN FASHION MERCH,Lorenzo di Medici,FLOR,383N,,,Registrar RG,Registrar RG,2,108
PERSPTVS ON HUMNT,Lecture,INTD,209L,,,Professional Programs PP,Professional Programs PP,3,109
COMPUTER GRAPHICS,Lecture,CMPT,446N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,110
INTERPERSON COMM,Marist Abroad,COM,203L,,,Communication and The Arts CO,School Communication Arts CO,3,111
AUDITING,Lecture,ACCT,402N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,105
DANTE'S QUEST FOR LOVE,Marist Abroad,ENG,281L,,,Liberal Arts LA,School of Liberal Arts LA,3,112
PSYCHOPATHOLOGY FOR SCH PSY,Lecture,PSYH,607L,,,MA School Psychology BZ,MA School Psychology BZ,3,113
INTRO PSYCHOLOGY,Lecture,PSYC,101L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,114
PERSPTVS-SOC INST,On Line Class,INTD,212L,,,Professional Programs PP,Professional Programs PP,3,115
DEC SUPT+BUS INTELL SYSTEMS,On Line Class,CMPT,460N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,116
MUSIC 20TH CENTURY BRITAIN,Marist Abroad,IMUS,105L,,,Communication and The Arts CO,School Communication Arts CO,3,118
GENETICS,Lecture,BIOL,320L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,103
ST:STRATEGIC BRAND MGMT,Marist Abroad,COM,207L,,,Communication and The Arts CO,School Communication Arts CO,3,119
TAX II,Lecture,ACCT,404N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '403N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,117
FASHION INTERN,Internship,FASH,483N,,,Communication and The Arts CO,School Communication Arts CO,4,121
ST: NEW YORK LITERATURE,Lecture,ENG,292L,,,Liberal Arts LA,School of Liberal Arts LA,3,122
PERSPTVS-SCI+HIST,On Line Class,INTD,213L,,,Professional Programs PP,Professional Programs PP,3,123
SCH PSYC PRACT II,Lecture,PSYH,611N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - School Psychology', '610N', 'Graduate', 'P', '']]",MA School Psychology BZ,MA School Psychology BZ,1,120
IS POLICY,Lecture,CMPT,470L,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,124
MANAG & LEADING IN ORGANIZATIO,On Line Class,ORG,101N,,,Professional Programs PP,Professional Programs PP,3,125
GENERAL CONSERVATION,Lorenzo di Medici,FLOR,384N,,,Registrar RG,Registrar RG,2,126
ST:FASHION SENIOR CAPPING,Lecture,FASH,485L,,,Communication and The Arts CO,School Communication Arts CO,3,128
ST:CUBA:PAST/PRESENT/FUTURE,Lecture,INTD,391L,,,Professional Programs PP,Professional Programs PP,3,131
ACADEMIC ASSESSMENT,Lecture,PSYH,617L,,,MA School Psychology BZ,MA School Psychology BZ,3,132
GOV/FIS CONTRL SY,Lecture,ACCT,451N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,127
CS PROJECT II,On Line Class,CMPT,476N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,1,133
GLOB ISS BUS+SOC,On Line Class,ORG,202N,,,Professional Programs PP,Professional Programs PP,3,134
GENERAL INTERIOR DESIGN,Lorenzo di Medici,FLOR,385L,,,Registrar RG,Registrar RG,2,135
FUND PUBL RELAT THRY+PRACT,Lecture,COM,211L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '100L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,129
RESEARCH DESGN+DATA ANALYSIS,Lecture,PSYH,620L,,,MA School Psychology BZ,MA School Psychology BZ,3,137
INTRO TO FACILITIES,On Line Class,CMPT,482N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,139
MANAGING HUMAN RESRCS,Lecture,ORG,301N,,,Professional Programs PP,Professional Programs PP,3,140
GENERAL INTERIOR DESIGN,Lorenzo di Medici,FLOR,385N,,,Registrar RG,Registrar RG,2,141
ST: ADV MAGAZINE PROD,Lecture,FASH,490N,,,Communication and The Arts CO,School Communication Arts CO,3,142
CUR ISSUES ACCT,Lecture,ACCT,477N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '403N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,138
CAPPING EXP,Lecture,INTD,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Integrative Major', '105L', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'English', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '120L', 'Undergraduate', 'D', ')']]",Professional Programs PP,Professional Programs PP,3,136
ST: TOKYO LIT AND FILM,Marist Abroad,ENG,293L,,,Liberal Arts LA,School of Liberal Arts LA,3,143
CELL BIOLOGY,Lecture,BIOL,328L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Chemistry', '131L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '111L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '115L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Chemistry', '132L', 'Undergraduate', 'D', ''], ['Or', '(', '', '', 'Chemistry', '112L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Chemistry', '116L', 'Undergraduate', 'D', ')']]",Science SI,School of Science SI,4,130
ACAD&BEHAV INTERVENTIONS,Lecture,PSYH,640L,,,MA School Psychology BZ,MA School Psychology BZ,3,144
CLOUD INFRASTRUCTRE+SERVICES,On Line Class,CMPT,483N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '306N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,145
INST: EVENT PRODUCTION,Independent Study,FASH,496L,,,Communication and The Arts CO,School Communication Arts CO,3,147
BEHVRS IN ORGANIZ,On Line Class,ORG,302N,,,Professional Programs PP,Professional Programs PP,3,148
SCH CRISIS PREV+INTERV,Lecture,PSYH,645L,,,MA School Psychology BZ,MA School Psychology BZ,3,150
ORGANIC AGRICULTURE,Marist Abroad,AGR,230L,,,Science SI,School of Science SI,3,151
PUBLI RELATION WRITING TOOL,Lecture,COM,212L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '100L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,146
GENERAL MEDIA STUDIES,Lorenzo di Medici,FLOR,387L,,,Registrar RG,Registrar RG,2,152
WORLD ENGLISHES,Marist Abroad,ENG,302L,,,Liberal Arts LA,School of Liberal Arts LA,3,153
ADV INTERNSHIP,Internship,CMPT,486N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,155
INTRNSHP IN PROFESSIONAL STD,Internship,INTD,498N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Integrative Major', '105L', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Career Development', '100N', 'Undergraduate', 'D', '']]",Professional Programs PP,Professional Programs PP,3,154
