course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,Lecture,ACCT,203N,,,Management SM,School of Management SM,3,1
GENERAL CRIME STUDIES,Lorenzo di Medici,FLOR,355L,,,Registrar RG,Registrar RG,2,2
THEMES SHAKESPEARE,Lecture,ENG,221L,,,Liberal Arts LA,School of Liberal Arts LA,3,3
MC SINGERS-WOMEN,Lecture,MUS,251N,,,Communication and The Arts CO,School Communication Arts CO,1,4
WASH SEM II:U.S.,Lecture,POSC,454L,,,Liberal Arts LA,School of Liberal Arts LA,4,5
PUBLIC PRESENTAT.,Lecture,COM,101L,,,Communication and The Arts CO,School Communication Arts CO,3,7
PLANNING & EVALUA,On Line Class,MPA,513L,,,MPA MP,MPA MP,3,6
HONORS THESIS PROJECT,Non Scheduled,HONR,420L,,,Registrar RG,Registrar RG,3,9
ROBOTICS,Lecture,CMPT,412N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,8
GENERAL RELIGION,Lorenzo di Medici,FLOR,356L,,,Registrar RG,Registrar RG,2,13
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,10
MC FRESH WMAN'S CHOIR,Lecture,MUS,252N,,,Communication and The Arts CO,School Communication Arts CO,1,14
FASH EMPLOY SEM,Lecture,FASH,400N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '100N', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Fashion', '100L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,1,11
WASH SEM II:FOR.,Lecture,POSC,455L,,,Liberal Arts LA,School of Liberal Arts LA,4,15
HUMAN NUTRITION,Lecture,BIOL,203L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,12
INTRO TO PROFESSIONAL WRITING,Lecture,ENG,222L,,,Liberal Arts LA,School of Liberal Arts LA,3,16
GAME DESIGN+PROGRAM II,Lecture,CMPT,415N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,18
GENERAL SOCIOLOGY,Lorenzo di Medici,FLOR,358L,,,Registrar RG,Registrar RG,2,19
MGMT IN NONPROFT ORG,On Line Class,MPA,521N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,17
MC CHAPEL CHOIR,Lecture,MUS,253N,,,Communication and The Arts CO,School Communication Arts CO,1,20
WASH RES THESIS,Lecture,POSC,457L,,,Liberal Arts LA,School of Liberal Arts LA,4,21
TOPICS IN NUTRITION,Marist Abroad,BIOL,225L,,,Science SI,School of Science SI,3,22
ORGANZ THEORY+CHANGE,Non Scheduled,MPA,530N,,,MPA MP,MPA MP,3,24
MC GOSPEL CHOIR,Lecture,MUS,254N,,,Communication and The Arts CO,School Communication Arts CO,1,25
STUDY ABROAD ADV ePORTFOLIO,On Line Class,FLOR,360L,,,Liberal Arts LA,School of Liberal Arts LA,3,26
LIT GENRES:FICT,Marist Abroad,ENG,235L,,,Liberal Arts LA,School of Liberal Arts LA,3,27
WASH SEM I:CONF,Lecture,POSC,468L,,,Liberal Arts LA,School of Liberal Arts LA,4,28
HUMAN BIOLOGY,Lecture,BIOL,237L,,,Science SI,School of Science SI,3,29
HACKING + PENETRATION TESTING,Lecture,CMPT,417N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '416N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,3,23
INST: CIRCULAR ECONOMY,Independent Study,FASH,407N,,,Communication and The Arts CO,School Communication Arts CO,1,30
INTRO TO COMM,Lecture,COM,102L,,,Communication and The Arts CO,School Communication Arts CO,3,31
GENERAL LITERATURE,Lorenzo di Medici,FLOR,362L,,,Registrar RG,Registrar RG,2,33
MC CHAMBER SINGERS,Lecture,MUS,256N,,,Communication and The Arts CO,School Communication Arts CO,1,34
AM SHORT FIC,Lecture,ENG,240L,,,Liberal Arts LA,School of Liberal Arts LA,3,35
WASH SEM II:CONFL,Lecture,POSC,469L,,,Liberal Arts LA,School of Liberal Arts LA,4,36
GLBL ISS IN PUB ADM,On Line Class,MPA,616L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,32
INTRO TO NEUROSCIENCE,Marist Abroad,BIOL,260L,,,Science SI,School of Science SI,3,38
ADV PDM SOFTWARE,Lecture,FASH,415L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '245N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Fashion', '300N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,37
SP TOP: CHAMBER STRINGS,Lecture,MUS,291N,,,Communication and The Arts CO,School Communication Arts CO,1,40
MOBILE SECURITY,Lecture,CMPT,418N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Computing Technology', '416N', 'Undergraduate', 'D', '']]",Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,39
CAPPING:LAW+MORALITY,Lecture,POSC,477L,,,Liberal Arts LA,School of Liberal Arts LA,3,41
MPA INTERNSHIP,On Line Class,MPA,660N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,42
ST: INVERTEBRATE ZOOLOGY,Marist Abroad,BIOL,292L,,,Science SI,School of Science SI,3,43
IN ST: WIND ISTRMNT,Lecture,MUS,320N,,,Communication and The Arts CO,School Communication Arts CO,1,46
INTERN POL SCI,Lecture,POSC,490N,,,Liberal Arts LA,School of Liberal Arts LA,12,47
GLOBAL MERCH STRATEGIES,Lecture,FASH,455N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Fashion', '265N', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,45
INTERNET SECURITY,Lecture,CMPT,420N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,48
ACTING II,Lecture,ENG,241L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '227L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Media Studies & Production', '206L', 'Undergraduate', 'D', '']]",Liberal Arts LA,School of Liberal Arts LA,3,44
FLORENCE BUS INTERN,Lorenzo di Medici,FLOR,370N,,,Registrar RG,Registrar RG,2,52
INTERN IN POL SCI,Internship,POSC,491N,,,Liberal Arts LA,School of Liberal Arts LA,2,53
ETH/LEG ISS HLTHC,On Line Class,MPA,682N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Masters - MPA', '500L', 'Graduate', 'C', '']]",MPA MP,MPA MP,3,49
DIGITAL TOOLBOX,Lecture,COM,103L,,,Communication and The Arts CO,School Communication Arts CO,3,54
INTERM ACCTING II,Lecture,ACCT,302N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,50
COMPUTER ORG & ARCH,Lecture,CMPT,422N,,,Computer Science/ Mathematics CC,School Computer Sci/ Math CC,4,55
TRAVEL WRITING,Marist Abroad,ENG,245L,,,Liberal Arts LA,School of Liberal Arts LA,3,56
ANIMAL BEHAVIOR,Lecture,BIOL,305L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,51
