course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,Lecture,ACCT,203N,,,Management SM,School of Management SM,3,1
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,2
INTERM ACCTING II,Lecture,ACCT,302N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,3
COST ACCTING,Lecture,ACCT,310N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,4
FRAUD EXAMINATION,Lecture,ACCT,315N,,,Management SM,School of Management SM,3,5
FIN STATMNT ANALYS,Lecture,ACCT,330N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,6
ACCTING INTERN,Internship,ACCT,396N,,,Management SM,School of Management SM,1,7
ACCOUNT INTERN,Internship,ACCT,397N,,,Management SM,School of Management SM,3,8
AUDITING,Lecture,ACCT,402N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,9
GOV/FIS CONTRL SY,Lecture,ACCT,451N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,10
CUR ISSUES ACCT,Lecture,ACCT,477N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '403N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,11
ORGANIC AGRICULTURE,Marist Abroad,AGR,230L,,,Science SI,School of Science SI,3,12
INTRO TO AMERICAN STDS,Lecture,AMST,110L,,,Liberal Arts LA,School of Liberal Arts LA,3,13
PHYSICAL ANTHROPOLOGY,On Line Class,ANTH,101L,,,Science SI,School of Science SI,3,14
CULTURAL ANTHROPOLOGY,Lorenzo di Medici,ANTH,102L,,,Science SI,School of Science SI,3,15
ARCHAEOLOGY OF ITALY,Marist Abroad,ANTH,103L,,,Science SI,School of Science SI,3,16
FOOD AND CULTURE,Marist Abroad,ANTH,119L,,,Science SI,School of Science SI,3,17
ARCHAEOLOGY,Marist Abroad,ANTH,120L,,,Science SI,School of Science SI,3,18
WINE & CULTURE I,Marist Abroad,ANTH,130L,,,Science SI,School of Science SI,3,19
