section,instructor,meeting_times,campus,seat_cap,data_id,course_id
111,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164115,1
112,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164324,1
113,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164479,1
114,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162823,1
115,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163699,1
116,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164116,1
117,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '127', '01/17/2023', '05/12/2023'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '127', '01/17/2023', '05/12/2023')]",Marist College Campus,20,166710,1
111,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162824,2
112,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162825,2
113,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164122,2
114,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '208', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164123,2
115,"Jin, Byunghoon","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Music', '3202', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162826,2
116,"Jin, Byunghoon","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Music', '3202', '01/17/2023', '05/12/2023'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Music', '3202', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162827,2
117,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '134', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162828,2
118,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '134', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163700,2
119,"Pantaleo, Jay","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '126', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163701,2
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,172979,2
200,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164121,2
111,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '204', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162829,3
200,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Thursday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '131', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162830,3
111,"Nash, David","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '134', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163859,4
111,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '204', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164478,5
111,"Wang, Xiaoli","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '126', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163140,6
112,"Wang, Xiaoli","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '126', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163277,6
200,"Shustack, Leonard","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '204', '01/17/2023', '05/12/2023')]",Marist College Campus,20,163278,6
111,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist College Campus,0,163787,7
111,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist College Campus,0,163784,8
111,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '126', '01/17/2023', '05/12/2023')]",Marist College Campus,20,164472,9
200,"Jin, Byunghoon","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '126', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162832,10
111,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '208', '01/17/2023', '05/12/2023')]",Marist College Campus,20,162833,11
180,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",LDM Program-Florence,99,164675,12
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165478,12
111,"Dwyer-McNulty, Sara","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Fontaine', '102', '01/17/2023', '05/12/2023'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Fontaine', '102', '01/17/2023', '05/12/2023')]",Marist College Campus,10,166797,13
721,"Costura, Daniel","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '01/17/2023', '05/12/2023')]",On-Line,30,163847,14
180,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",LDM Program-Florence,30,172808,15
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165479,15
721,"Echeverry, Eliza","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '01/17/2023', '05/12/2023')]",On-Line,30,163748,15
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165480,16
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165481,17
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165482,18
200,"Costura, Daniel","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '06:30 PM', '09:00 PM', 'Lecture', 'Donnelly', '236', '01/17/2023', '05/12/2023')]",Marist College Campus,30,164074,18
180,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",LDM Program-Florence,99,164677,19
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165483,19
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '01/17/2023', '05/12/2023')]",Marist Abroad,99,165484,20
