course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,School College,ACCT,203N,,,Management SM,School of Management SM,3,1
MULTICULTURAL COUN,Lecture,COUN,611L,,,Mental Health Counseling BH,Mental Health Counseling BH,3,2
RESEARCH I,Lecture,BIOL,483L,,,Science SI,School of Science SI,1,3
ST: HOMICIDE,Marist Abroad,CRJU,393L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,4
INTRO ENVIRON ISS,Lecture,ENSC,101L,,,Science SI,School of Science SI,3,5
BOXING,Lecture,PHED,132N,,,Science SI,School of Science SI,1,9
MEDIA INTERNSHIP,Internship,MDIA,360N,,,Communication and The Arts CO,School Communication Arts CO,1,10
THEMES IN MOD HIST,On Line Class,HIST,101L,,,Liberal Arts LA,School of Liberal Arts LA,3,8
COUN TECHNIQUES,Lecture,COUN,612L,,,Mental Health Counseling BH,Mental Health Counseling BH,3,11
CHILD DEVELOPMENT,Lecture,PSYC,317L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,7
PUBLI RELATION WRITING TOOL,Lecture,COM,212L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '100L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,6
ST:MASS INCARCERATION,Lecture,CRJU,397L,,,Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,12
MEDIA INTERNSHIP,Marist Abroad,MDIA,361N,,,Communication and The Arts CO,School Communication Arts CO,3,13
INTR WOMEN STUD,Lecture,HIST,130L,,,Liberal Arts LA,School of Liberal Arts LA,3,15
CROSS CULT CJ SYS,Marist Abroad,CRJU,440L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,16
FAMILY+CPLS COUN,Lecture,COUN,615L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'MA CMH Counseling', '600L', 'Graduate', 'C', ''], ['And', '', '', '', 'MA CMH Counseling', '610L', 'Graduate', 'C', ''], ['And', '', '', '', 'MA CMH Counseling', '612L', 'Graduate', 'C', '']]",Mental Health Counseling BH,Mental Health Counseling BH,3,14
BIOL INTERN,Internship,BIOL,494N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Biology', '130L', 'Undergraduate', 'C', ''], ['And', '', '', '', 'Biology', '131L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,1,17
ENVIRONMENTAL SCI: OUR ROLE,Marist Abroad,ENSC,102L,,,Science* SC,Science SC,4,18
FLORENCE & THE HOUSE OF MEDICI,Lorenzo di Medici,HIST,202L,,,Liberal Arts LA,School of Liberal Arts LA,3,19
SAILING,Lecture,PHED,137N,,,Science SI,School of Science SI,1,21
MEDIA INTERNSHIP,Marist Abroad,MDIA,362N,,,Communication and The Arts CO,School Communication Arts CO,6,23
PSYC OF THE ADOLSCT,Lecture,PSYC,318L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,22
COUN INTERNSHIP I,Lecture,COUN,710N,,,Mental Health Counseling BH,Mental Health Counseling BH,3,25
FIELD+LAB EXPERIENCE,Lecture,ENSC,125L,,,Science SI,School of Science SI,1,27
BIOLOGY INTERN,Internship,BIOL,495N,,,Science SI,School of Science SI,2,26
INTRO TO STRATEGIC ADVERTISING,Lorenzo di Medici,COM,220L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'English', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '117L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-Honors', '120L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'English-ESOL', '120L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,20
SENIOR SEMINAR II,Lecture,CRJU,477L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '374L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Psychology', '350L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,24
INTRO TO PUBLIC HIST,Lecture,HIST,205L,,,Liberal Arts LA,School of Liberal Arts LA,3,28
INTRO MODERN DANCE,Lorenzo di Medici,PHED,142N,,,Science SI,School of Science SI,3,29
INST:ADV AUDIO PRODUCTION,Independent Study,MDIA,390L,,,Communication and The Arts CO,School Communication Arts CO,3,30
TOPICS IN ACCOUNTING,On Line Class,MGMT,205N,,,Professional Programs PP,Professional Programs PP,3,31
BIOL INTERN,Internship,BIOL,496N,,,Science SI,School of Science SI,3,34
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,32
WAR IN THE ANCIENT WORLD,Lorenzo di Medici,HIST,208L,,,Liberal Arts LA,School of Liberal Arts LA,3,35
INTRO GIS,Lecture,ENSC,230L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Environmental Science', '101L', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,3,33
INTRO TO FIN MGMT,Lecture,MGMT,320N,,,Professional Programs PP,Professional Programs PP,3,37
INTRO TO BALLET,Lorenzo di Medici,PHED,143N,,,Science SI,School of Science SI,3,40
BIOL INTERN,Marist Abroad,BIOL,497N,,,Science SI,School of Science SI,6,41
ADVANCED SCREENWRITING,Lecture,MDIA,401L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Media Studies & Production', '301L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Communication', '321L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,36
LIFESPAN DEVELOPMENT,Marist Abroad,PSYC,323L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Psychology', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,39
ECO-GASTRONOMY,Lorenzo di Medici,ENSC,250L,,,Science SI,School of Science SI,3,42
CRJU INTERN I,Marist Abroad,CRJU,496N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Criminal Justice', '101L', 'Undergraduate', 'D', '']]",Behavioral and Social Science SB,School Behavioral/Social Sci SB,3,38
DOING BUS IN THE EU,Lorenzo di Medici,MGMT,376N,,,Professional Programs PP,Professional Programs PP,3,43
DIGITAL HUMANITIES,Lecture,HIST,209L,,,Liberal Arts LA,School of Liberal Arts LA,3,44
KARATE I,Lecture,PHED,146N,,,Science SI,School of Science SI,1,45
BIOL INTERN,Internship,BIOL,498N,,,Science SI,School of Science SI,1,46
TOPICS IN OPS MGMT,On Line Class,MGMT,388N,,,Professional Programs PP,Professional Programs PP,3,49
SUSTAINABLE FOREST MGMT,Marist Abroad,ENSC,290L,,,Science SI,School of Science SI,3,50
HIST OF AMER MAHHOOD,Lecture,HIST,211L,,,Liberal Arts LA,School of Liberal Arts LA,3,51
BRITISH LIFE & CULTURES,Marist Abroad,CSBR,121L,,,Liberal Arts LA,School of Liberal Arts LA,3,54
