course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL ACCTNG,Lecture,ACCT,203N,,,Management SM,School of Management SM,3,1
MANAGERIAL ACCTNG,Lecture,ACCT,204N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,2
INTERM ACCTING I,Lecture,ACCT,301N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,3
COST ACCTING,Lecture,ACCT,310N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,4
FRAUD EXAMINATION,Lecture,ACCT,315N,,,Management SM,School of Management SM,3,5
FIN STATMNT ANAL,Lecture,ACCT,330N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '204N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Business', '320N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,6
ACCOUNT INTERN,Internship,ACCT,380N,,,Management SM,School of Management SM,2,7
ACCOUNT INTERN,Internship,ACCT,397N,,,Management SM,School of Management SM,3,8
ADVANCED ACCTING,Lecture,ACCT,401N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,9
AUDITING,Lecture,ACCT,402N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,10
TAX I,Lecture,ACCT,403N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,11
GOVT & NON-PROFIT ACCT,Lecture,ACCT,451N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '301N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,12
CUR ISSUES ACCT,Lecture,ACCT,477N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', ''], ['And', '', '', '', 'Accounting', '403N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,13
ORGANIC AGRICULTURE,Marist Abroad,AGR,230L,,,Science SI,School of Science SI,3,14
CULTURAL ANTHROPOLOGY,Marist Abroad,ANTH,102L,,,Science SI,School of Science SI,3,15
ARCHAEOLOGY OF ITALY,Lorenzo di Medici,ANTH,103L,,,Science SI,School of Science SI,3,16
