section,instructor,meeting_times,campus,seat_cap,data_id,course_id
111,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160750,1
112,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '208', '08/29/2022', '12/16/2022')]",Marist College Campus,24,159116,1
113,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,0,159113,1
114,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,0,160463,1
115,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '208', '08/29/2022', '12/16/2022')]",Marist College Campus,24,159117,1
116,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,159114,1
117,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160751,1
200,"Niemotko, Tracey","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '06:30 PM', '09:00 PM', 'Lecture', 'Donnelly', '112', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160757,1
202,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160753,1
399,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '09/06/2022', '12/31/2022')]",Cornwall School College,25,166638,1
111,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '08:00 AM', '09:15 AM', 'Lecture', 'Fifty One Fulton', '208', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160760,2
112,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '02:00 PM', '03:15 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160745,2
113,"Pantaleo, Jay","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '12:30 PM', '01:45 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160487,2
114,"Freiman, Jamie","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Fifty One Fulton', '134', '08/29/2022', '12/16/2022')]",Marist College Campus,24,160502,2
200,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fifty One Fulton', '127', '08/29/2022', '12/16/2022')]",Marist College Campus,24,159118,2
111,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '05:00 PM', '06:15 PM', 'Lecture', 'Fifty One Fulton', '131', '08/29/2022', '12/16/2022')]",Marist College Campus,24,159120,3
