section,instructor,meeting_times,campus,seat_cap,data_id,course_id
399,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '09/01/2021', '12/31/2021')]",Cornwall School College,0,158815,1
620,"Nash, David","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Lowell Thomas', '020', '08/30/2021', '12/17/2021'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Lowell Thomas', '020', '08/30/2021', '12/17/2021')]",Marist College Campus,24,153943,1
621,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '03:30 PM', '04:45 PM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021')]",Marist College Campus,24,153947,1
622,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Wednesday', '03:30 PM', '04:45 PM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021')]",Marist College Campus,0,152205,1
623,"Friedman, Carol","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021')]",Marist College Campus,0,153637,1
901,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '08:00 AM', '09:15 AM', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021')]",Marist College Campus,0,158129,2
111,"Brown, William","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '133', '08/30/2021', '12/17/2021')]",Marist College Campus,26,152251,3
624,"Craven, Michael","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021')]",Marist College Campus,24,152207,1
189,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021')]",Marist Abroad,0,153887,4
721,"Robinette, Jennifer","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'On-Line', 'None', 'None', '08/30/2021', '12/17/2021')]",On-Line,30,154219,5
901,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Friday', '12:30 PM', '01:45 PM', 'Lecture', 'Dyson Building', '227', '08/30/2021', '12/17/2021')]",Marist College Campus,24,152206,1
648,"Loh, Brian","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '12:30 PM', '01:45 PM', 'Lecture', 'Dyson Building', '210', '08/30/2021', '12/17/2021'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Donnelly', '112', '08/30/2021', '12/17/2021')]",Marist College Campus,2,154199,6
902,"Coletti, Kenneth","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday,Thursday', '05:00 PM', '06:15 PM', 'Lecture', 'Dyson Building', '218', '08/30/2021', '12/17/2021')]",Marist College Campus,24,153944,1
902,"Murphy, Nicole","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Tuesday', '11:00 AM', '12:15 PM', 'Lecture', 'Library', '301', '08/30/2021', '12/17/2021')]",Marist College Campus,0,153480,7
190,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021')]",Marist Abroad,0,153591,4
721,"Mercier, Stephen","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021')]",Marist College Campus,18,154032,8
903,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '06:30 PM', '09:00 PM', 'Lecture', 'Lowell Thomas', '129', '08/30/2021', '12/17/2021')]",Marist College Campus,24,152208,1
901,"Bayer, Kristin","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '06:30 PM', '09:00 PM', 'Lecture', 'Fontaine', '102', '08/30/2021', '12/17/2021')]",Marist College Campus,16,158205,4
904,"Wu, Chengzhang","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Lowell Thomas', '129', '08/30/2021', '12/17/2021'), ('Friday', '03:30 PM', '04:45 PM', 'Lecture', 'Lowell Thomas', '129', '08/30/2021', '12/17/2021')]",Marist College Campus,24,152209,1
649,"Loh, Brian","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Monday,Thursday', '02:00 PM', '03:15 PM', 'Lecture', 'Dyson Building', '210', '08/30/2021', '12/17/2021'), ('Wednesday', '02:00 PM', '03:15 PM', 'Lecture', 'Donnelly', '112', '08/30/2021', '12/17/2021')]",Marist College Campus,2,153661,6
112,"Gavin, Joanne","[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('Wednesday', '09:30 AM', '10:45 AM', 'Lecture', 'Dyson Building', '210', '08/30/2021', '12/17/2021'), ('Monday', '11:00 AM', '12:15 PM', 'Lecture', 'Dyson Building', '210', '08/30/2021', '12/17/2021')]",Marist College Campus,26,152252,3
189,,"[('days', 'start_time', 'end_time', 'meeting_type', 'building', 'room', 'start_date', 'end_date'), ('None', '', '', 'Lecture', 'None', 'None', '08/30/2021', '12/17/2021')]",Marist Abroad,0,153888,9
