course_title,taught_how,subject,number,co_requisites,prerequisites,college,department,credit_hours,id
FINANCIAL MGMT,Lecture,BUS,320N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '(', '', '', 'Mathematics', '130L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Mathematics', '330L', 'Undergraduate', 'D', ')'], ['And', '', '', '', 'Accounting', '203N', 'Undergraduate', 'D', ''], ['And', '(', '', '', 'Economics', '101L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '104L', 'Undergraduate', 'D', ')'], ['And', '(', '', '', 'Economics', '102L', 'Undergraduate', 'D', ''], ['Or', '', '', '', 'Economics', '103L', 'Undergraduate', 'D', ')']]",Management SM,School of Management SM,3,32
THE COLLEGE EXPERIENCE,Lecture,LERN,120N,,,Liberal Arts LA,School of Liberal Arts LA,1,39
ACCOUNT INTERN,Internship,ACCT,380N,,,Management SM,School of Management SM,2,41
ADV IMMUN/IMMUNOHEM,Lecture,MEDT,441N,,,Science SI,School of Science SI,3,40
WASH. INTERNSHIP,Internship,POSC,450N,,,Liberal Arts LA,School of Liberal Arts LA,4,43
WORLD LITERATURE,Marist Abroad,ENG,170L,,,Liberal Arts LA,School of Liberal Arts LA,3,42
SPECIALIZD JOURN,Marist Abroad,COM,444L,,,Communication and The Arts CO,School Communication Arts CO,3,44
ACCOUNT INTERN,Internship,ACCT,397N,,,Management SM,School of Management SM,3,45
FIRST YEAR SEMINAR HONORS,Lecture,FYSH,101L,,,Liberal Arts LA,School of Liberal Arts LA,4,46
SHAKESPEARE'S ITALY,Marist Abroad,LIT,315L,,,Liberal Arts LA,School of Liberal Arts LA,3,47
ADV IMMUN/IMMUNOHEM LAB,Laboratory,MEDT,442N,,,Science SI,School of Science SI,2,48
WASH SEM. I:U.S.,Lecture,POSC,451L,,,Liberal Arts LA,School of Liberal Arts LA,4,49
ADVANCED ACCTING,Lecture,ACCT,401N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,50
SPORTS REPORTING,Lecture,COM,445L,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Communication', '242L', 'Undergraduate', 'D', '']]",Communication and The Arts CO,School Communication Arts CO,3,51
INTRO WRITNG DISC,Lecture,ENG,185L,,,Liberal Arts LA,School of Liberal Arts LA,3,53
WASH SEM I:ECON,Lecture,POSC,453L,,,Liberal Arts LA,School of Liberal Arts LA,4,54
RESEARCH IN COUN,Lecture,COUN,505L,,,Mental Health Counseling BH,Mental Health Counseling BH,3,56
CLIN MICROSCOP II,Lecture,MEDT,445N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Medical Technology', '345N', 'Undergraduate', 'C', '']]",Science SI,School of Science SI,1,52
AUDITING,Lecture,ACCT,402N,,"[['And/Or', '', 'Test', 'Score', 'Subject', 'Course Number', 'Level', 'Grade', ''], ['', '', '', '', 'Accounting', '302N', 'Undergraduate', 'D', '']]",Management SM,School of Management SM,3,55
